Input_Text,Accepted_Completion,Rejected_Completion
What percentage did Xbox content and services revenue grow year-over-year according to Microsoft's Q1 FY2025 report?,61 percent.,50 percent.
Which company's acquisition by Microsoft was highlighted in their Q1 FY2025 financial earnings report?,Activision Blizzard.,Bethesda Softworks.
How much did Microsoft's Activision Blizzard acquisition cost?,$69 billion.,$50 billion.
In what country did physical sales of Black Ops 6 fall by 10 percent compared to Modern Warfare 3 during the opening weekend?,The United Kingdom.,The United States.
What was a key factor attributed to the decrease in physical sales of Black Ops 6 in the UK?,Its day one appearance on Game Pass.,A global shortage of physical copies.
What other game set a previous record for the most Game Pass subscriptions added on a single day before Black Ops 6?,Starfield.,Halo Infinite.
How much did unit sales on PlayStation and Steam increase year-over-year for Black Ops 6?,60 percent.,45 percent.
During which financial period did Microsoft record a notable gain in gaming revenue due to Black Ops 6?,Q1 FY2025.,Q4 FY2024.
By what percentage did Microsoft's Xbox hardware revenue decline year-over-year?,29 percent.,20 percent.
"As of October 2024, which CPU was used for benchmarking Red Dead Redemption Remastered on a high-end PC?",AMD Ryzen 9 7950X3D.,Intel Core i9-13900K.
What framerate limit is Red Dead Redemption Remastered initially locked at?,144FPS.,60FPS.
Which GPU was paired with the AMD Ryzen 9 7950X3D for testing Red Dead Redemption Remastered?,NVIDIA GeForce RTX 4090.,NVIDIA GeForce RTX 3080.
What specific type of memory was used in the benchmarking of Red Dead Redemption Remastered?,32GB of DDR5 at 6000MHz.,32GB of DDR4 at 3200MHz.
Which operating system was used for Red Dead Redemption Remastered benchmark testing?,Windows 10 64-bit.,Windows 11 64-bit.
"During the benchmark, what percentage of GPU usage was observed in the open-world area of Red Dead Redemption Remastered?",Around 68%.,Around 92%.
"What technology does Red Dead Redemption Remastered not support, according to the October 2024 benchmarks?",AMD FSR 3.0 Frame Generation.,NVIDIA DLSS 3 Frame Generation.
"As of 2024, how was the benchmark performance of Red Dead Redemption Remastered described on a high-end PC CPU?","Great, achieving about 140FPS without stutters.","Poor, barely hitting 60FPS with frequent stutters."
What is a significant visual benefit mentioned when using NVIDIA Reflex in Red Dead Redemption Remastered?,Minimal input latency.,Increased texture resolution.
What additional action was taken during the benchmarking to test potential CPU bottlenecks in Red Dead Redemption Remastered?,The second CCD on the 7950X3D was disabled.,The graphics card was intentionally underclocked.
Which version of drivers was used during the benchmark tests for Red Dead Redemption Remastered?,GeForce 566.03 driver.,Radeon Adrenalin 23.10.2 driver.
"During the benchmark, what range of framerates was observed in the open-world of Red Dead Redemption Remastered?",143-151FPS.,160-170FPS.
"Which gaming studio developed ""7 Minutes in Hell""?","Gaggle Studios developed ""7 Minutes in Hell.""","Bloober Team developed ""7 Minutes in Hell."""
"What is the mode called in ""The Texas Chain Saw Massacre"" that feels like a Giallo film?",The mode is called Rush Week.,The mode is called Terror Tuesday.
Which remake was developed by Bloober Team for a classic survival horror game?,Bloober Team developed the remake of Silent Hill 2.,Bloober Team developed the remake of Resident Evil 2.
"What year was ""Alien: Isolation"" first released?","""Alien: Isolation"" was first released in 2014.","""Alien: Isolation"" was first released in 2012."
"Which company is known for developing the ""Dead Rising Deluxe Remaster""?","The ""Dead Rising Deluxe Remaster"" was developed by Capcom.","The ""Dead Rising Deluxe Remaster"" was developed by Konami."
"What gameplay difficulty style is emulated by the ""RetroRealms: Ash vs. Evil Dead and Halloween"" games?",They emulate arcade-style difficulty.,They emulate puzzle-solving difficulty.
"In ""Iron Meat,"" what type of gameplay is emphasized, taking inspiration from a classic Konami game?",It emphasizes run-and-gun gameplay.,It emphasizes stealth gameplay.
"What did reviewers cite as a nod back to the original 1987 game in ""Iron Meat""?",The gorgeous pixel art animation was a nod back.,The complex storyline was a nod back.
"Which game within ""The Dark Pictures Anthology"" features an aquatic horror theme?","""Man of Medan"" features an aquatic horror theme.","""House of Ashes"" features an aquatic horror theme."
"What distinctive visual and control feature is missing from ""Crow Country"" that was common in older survival horror games?","Fixed camera angles are missing from ""Crow Country.""","Retro pixel graphics are missing from ""Crow Country."""
"What upcoming content marks the beginning of the second season in ""The Dark Pictures Anthology""?","The second season begins with ""Directive 8020.""","The second season begins with ""The Crypt Keeper."""
"What classic survival horror game style does ""Crow Country"" aim to emulate?","""Crow Country"" emulates PS1 survival horror games.","""Crow Country"" emulates NES platformer games."
"What was a significant design choice in ""Doom 3"" that set it apart from other Doom games?","""Doom 3"" focused on Survival Horror elements.","""Doom 3"" focused on open-world elements."
Which series is known for using a mechanic of needing to swap between a weapon and a flashlight?,"""Doom 3"" is known for this mechanic.","""Alien: Isolation"" is known for this mechanic."
What percentage of Starbucks' U.S. transactions are accounted for by mobile orders as stated in October 2024?,More than 30%.,Less than 15%.
"What is the target time Starbucks wants to achieve for delivering a customized drink to a customer, as per the October 2024 announcement?",Under four minutes.,Under two minutes.
"In October 2024, what is the main reason Starbucks is planning fewer new locations and renovations?",To free up capital.,To avoid competition.
When is Starbucks planning to remove the extra cost for milk substitutes according to the October 2024 announcement?,"November 7, 2024.","December 1, 2024."
Which coffee chain's menu will be streamlined for better consistency according to its CEO’s October 2024 statement?,Starbucks.,Dunkin'.
Who is Starbucks' CFO who announced the plan to reduce new locations in fiscal 2025 during the October 2024 call?,Rachel Ruggeri.,Kevin Johnson.
What was the trading reaction of Starbucks shares after the third-quarter revenue report in 2024?,Shares were flat.,Shares surged significantly.
From which previous company did CEO Brian Niccol source the new chief global brand officer for Starbucks in 2024?,Chipotle.,Burger King.
"How does Starbucks plan to enhance the in-cafe experience as part of its ""third place"" concept in 2024?",By serving coffee in ceramic mugs for customers who linger.,By eliminating seating to increase customer turnover.
What percentage decline in revenue led Starbucks to strategize a turnaround as reported in 2024?,Revenue fell for the third straight quarter.,Revenue rose for the third consecutive quarter.
"As of October 2024, what will Starbucks focus on instead of opening new stores for fiscal 2025?",Fewer new locations and renovations.,Expanding rapidly internationally.
What staffing strategy did Starbucks implement to improve barista retention as of October 2024?,Increasing the average number of hours scheduled for baristas.,Reducing shifts to allow more flexibility.
"In October 2024, how did Starbucks' CEO describe the current state of mobile order customization?",Overly wide and unnecessary.,Insufficient and limited.
What specific design elements is Starbucks planning to improve to enhance the cafe atmosphere as of October 2024?,More comfortable seating and amenities.,Installation of more televisions and digital screens.
Who was appointed as Peloton's next CEO and president as announced in October 2024?,Peter Stern.,Barry McCarthy.
In which company did Peter Stern serve as president before joining Peloton?,Ford Integrated Services.,General Motors Digital Services.
On what date is Peter Stern scheduled to assume his role as CEO of Peloton?,January 1.,December 1.
Who will remain on Peloton's board despite stepping down as a co-CEO on Friday?,Chris Bruzzo.,Karen Boone.
"How many CEOs, including Peter Stern, has Peloton had in its history up to October 2024?",Three.,Four.
